name,type,district,address,area,price,total
首创娇子1号,商业,锦江,南三环娇子立交外侧,待定,45000,0
伊泰天骄,住宅,锦江,通宝街88号,260-370㎡,28500,600
茂业豪园,商业类,锦江,一环路东五段茂业豪园营销中心,27-37㎡,29500,77
阳光新业大厦,写字楼,锦江,一环路东五段87号,待定,价格待定,0
环球汇天誉,商业类,锦江,东大路318号,42-63㎡,价格待定,0
雄飞中心,写字楼,锦江,纯阳观街66号,待定,14000,0
新希望锦官阁,底商,锦江,静康路与静沙北路交汇处,待定,55000,0
首创娇子1号,底商,锦江,南三环娇子立交外侧,待定,35000,0
乐天圣苑,底商,锦江,通源街588号,待定,74000,0
中洲中央城邦,底商,锦江,东二环通桂路7号(沙河公园旁),待定,70000,0
乐天圣苑,商业,锦江,通源街588号,待定,70000,0
融创玖樾台邸,住宅,锦江,三圣花乡银木街与茶花街交汇处,116-156㎡,13000,203
滨江樾府,住宅,锦江,驿都大道与国槐街交汇处,156㎡,17500,0
华熙528艺术村锦都,底商,锦江,成龙大道与银木街交界处,待定,50000,0
华熙528艺术村盈都,底商,锦江,成龙大道与银木街交汇处,待定,55000,0
华润东原时光绘,商业类,锦江,三色路华润·东原·时光绘,38-50㎡,14000,53
J7金林中心,住宅,锦江,经天路1号,待定,15000,0
茂业豪园,住宅,锦江,一环路东五段茂业豪园营销中心,待定,价格待定,0
新希望D10天府,住宅,锦江,地铁2号线牛王庙站B出口旁（国土局锦江分局斜对面）,待定,价格待定,0
优山禧悦,住宅,锦江,岷山路123号,119-161㎡,16000,0
环球汇天誉,住宅,锦江,东二环与沙河之间汇源北路99号,118-280㎡,21000,0
碧桂园锦公馆,住宅,锦江,中环路锦绣大道段晨辉东路1109号,待定,15463,0
汇丽汀香,底商,锦江,锦华路一段69号,待定,22000,0
新希望锦官阁,别墅,锦江,静康路与静沙北路交汇处,待定,价格待定,0
西部国际金融中心,住宅,锦江,下东大街段258号,待定,价格待定,0
成都ICC写字楼,写字楼,锦江,东大路二环路外沙河畔东大路328号,待定,价格待定,0
恒大望江华府,别墅,锦江,东大路下沙河铺街和大凉山路交界处（塔子山公园旁）,待定,价格待定,0
成都ICC天峻,住宅,锦江,东大路328号,待定,价格待定,0
绿地中心468锦峰,写字楼,锦江,芙蓉西路468（地铁二号线洪河站）,待定,12000,0
盈嘉赢家,商业类,锦江,南纱帽街77号,待定,60000,0
COSMO天廊,底商,锦江,上沙河铺街66号,待定,价格待定,0
环球汇天誉,底商,锦江,东大路318号,待定,30000,0
华润凯旋天地,商业,锦江,中环锦绣大道菱窠路口华润凯旋天地,待定,价格待定,0
人居东湖长岛,住宅,锦江,琉璃路396号,待定,价格待定,0
华润置地自在域,商业类,锦江,成龙大道一段华润置地自在域,待定,12500,0
融创玖樾台邸,商业,锦江,三圣花乡银木街与茶花街交汇处,待定,价格待定,0
中房优山PLUS,商业,锦江,"金沙江路与岷山路交汇处（塔子山地铁站A口前行100米）, 岷山路123号",待定,36000,0
东韵雅苑,住宅,锦江,汇泉南路41号,待定,价格待定,0
佳兆业天悦,商业类,锦江,锦兴路63号,44-70㎡,26500,121
华固一品,住宅,锦江,水杉街369号(蓝谷地成都三中对面),81-87㎡,11500,0
首创娇子1号,别墅,锦江,南三环娇子立交外侧,132㎡,470,520
中港CCPARK,住宅,锦江,东二环与琉璃路交汇处,待定,18500,0
绿地468星曜,商业类,锦江,驿都大道地铁二号线洪河站口,60-80㎡,16000,93
天誉花园,住宅,锦江,东二环汇源北路99号,280㎡,21500,0
阳光新业中心,写字楼,锦江,青和里南段33号,待定,9000,0
泰业城中城大厦,写字楼,青羊,青龙巷36号,待定,16500,0
蓝光coco金沙二期,底商,青羊,清源三路169号,待定,27000,0
西城尚锦,底商,青羊,光华东三路588号,待定,40000,0
西城尚锦,商业,青羊,光华东三路588号,待定,40000,0
成都托尼洛·兰博基尼中心,商业类,青羊,人民南路一段126号,78-230㎡,50000,400
国一梦巢,底商,青羊,光华大道光华南二路238号（树德中学旁）,待定,49000,0
蓝光COCO金沙一期,商业,青羊,清涟路27号,待定,25000,0
蓝光COCO金沙一期,底商,青羊,清涟路27号,待定,25000,0
飞大美誉大厦,商业类,青羊,新华大道文武路飞大美誉大厦,41㎡,21000,73
远洋朗基香汇,商业,青羊,光华南一路255号,待定,45000,0
西城壹号,商业类,青羊,二环路与清江中路交汇处（麦德龙超市原址）,46㎡,19000,89
飞大美誉大厦,底商,青羊,人民中路三段1号,待定,价格待定,0
太行朗诗金沙城,住宅,青羊,百仁生态区内（三环路西四段）,207-246㎡,价格待定,500
光华壹号,住宅,青羊,光华南二路(树德中学对面),100-170㎡,价格待定,0
海亮樾金沙,商业,青羊,西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,待定,40000,0
成都青羊万达广场,商业,青羊,日月大道与武青北路交汇处,待定,50000,0
融创观玺台花园,住宅,青羊,西货站路207号,145㎡,17300,0
颐和京都,住宅,青羊,培风路276号,48㎡,12500,0
元益花园,住宅,青羊,光华大道一段866号,待定,11000,0
蓝光雍锦园,住宅,青羊,清源二路126号,待定,21000,0
蓝光雍锦园,别墅,青羊,清源二路126号,待定,2000,0
SG珊顿道,住宅,青羊,正府街77号（中国银行大厦背后）,待定,20000,0
融创观玺台花园,商业,青羊,西货站路207号,待定,4850,0
富力公馆,住宅,青羊,天府广场旁顺城大街269号,96-253㎡,13500,0
东原时光道,底商,青羊,光华大道东4路78号,待定,40000,0
城置尚豪庭,商业,青羊,草市街38号,待定,35000,0
华润金悦湾,住宅,青羊,清波路77号,203-279㎡,11500,0
万和中心,写字楼,青羊,日月大道1501号,待定,9700,0
融创观玺台花园,底商,青羊,西货站路207号,待定,30000,0
荣盛花语城,底商,青羊,光华东一路75号,待定,20000,0
西环广场,写字楼,青羊,光华东三路489号,待定,12000,0
佳兆业西城广场,住宅,青羊,文家街道办事处马厂村1、2组,待定,12000,0
光华逸家,底商,青羊,光华东三路401号,待定,50000,0
光华欣苑,底商,青羊,光华北六路217号,待定,22000,0
元益花园,底商,青羊,光华大道一段866号,86㎡,41000,0
公元西,底商,青羊,金沙遗址路68号,待定,37000,0
长虹和悦府,底商,青羊,光华北一路527号,待定,40000,0
中铁西城新天地,商业,青羊,光华东二路98号,待定,55000,0
恒大翡翠华庭,底商,青羊,西三环光华南三路（万家湾公交总站旁）,待定,35000,0
